Orig	Dest	B	C
1	1	20.21	19.14
1	2	21.15	35.36
1	3	38.02	6.58
1	4	82.96	54.44
1	5	36.74	3.42
1	6	40.05	29.71
1	7	81.04	86.84
1	8	32.79	10.25
1	9	20.42	88.79
1	10	75.28	69.16
2	1	26.64	67.17
2	2	91.14	94.19
2	3	35.91	84.84
2	4	54.82	18.03
2	5	15.22	14.79
2	6	22.32	54.24
2	7	63.5	88.65
2	8	96.77	2.37
2	9	46.03	67.82
2	10	17.89	63.95
3	1	87.75	98.07
3	2	65.33	47.14
3	3	27.67	31.52
3	4	41.77	43.55
3	5	7.95	15.16
3	6	96.96	35.94
3	7	44.05	51.62
3	8	24.15	87.11
3	9	14.83	89.29
3	10	62.82	90.05
4	1	99.12	62.12
4	2	35.88	0.76
4	3	14.98	7.75
4	4	30.88	90.65
4	5	72.61	38.56
4	6	30.11	29.61
4	7	35.77	49.19
4	8	87.95	49.52
4	9	5.72	80.87
4	10	72.01	91.85
5	1	35.96	72.66
5	2	77.48	8.39
5	3	26.31	68.99
5	4	0.44	33.27
5	5	53.19	99.39
5	6	27.53	41.43
5	7	54.96	93.43
5	8	6.13	49.18
5	9	89.34	0.42
5	10	53.21	28.86
6	1	18.25	20.55
6	2	41.75	48.2
6	3	22.85	87.11
6	4	38.9	60.53
6	5	31.18	47.8
6	6	24.53	60.91
6	7	83.44	32.87
6	8	73.36	96.83
6	9	21.69	60.7
6	10	78.8	5.93
7	1	99.44	27.63
7	2	12.07	20.55
7	3	94.96	46.14
7	4	82.65	41.45
7	5	87.55	49.45
7	6	25.93	62.43
7	7	48.61	68.35
7	8	19.68	59.86
7	9	45.06	21.36
7	10	47.61	79.15
8	1	73.14	23.44
8	2	91.76	7.94
8	3	72.02	77.68
8	4	30.79	26.69
8	5	47.41	11.26
8	6	43.61	30.71
8	7	29.16	17.61
8	8	71.12	53.97
8	9	80.97	68.69
8	10	69.04	48.52
9	1	19.31	97.49
9	2	89.67	34.06
9	3	29.08	51.32
9	4	32.62	40.43
9	5	2.97	70.97
9	6	0.69	35.97
9	7	56.47	9.14
9	8	27.39	77.77
9	9	64.13	41.58
9	10	61.58	96.18
10	1	94.6	90.65
10	2	89.65	31.35
10	3	48.52	69.87
10	4	11.52	81.93
10	5	47.32	95.76
10	6	66.65	91.2
10	7	6.87	42.52
10	8	79.86	5.79
10	9	35.78	94.68
10	10	73.1	14.31
